ID,magnitude,Cadence,duration,latitude,longitude,Teff,Teff_error,logg,logg_error,Type,var_lc,num_peaks,median_peaks,mad_peaks
1,16.8,1800,27.38,9.84,108.1,4354,300,-999,-999, Trans/Eclipse,2.57249406088438,2,29.868578255675,41.752688172043
2,6,1800,82.17,65.38,108.08,8000,200,-999,-999, Trans/Eclipse,945985.002596187,19,57.1290862183729,55.6957557202241
3,15.5,1800,27.37,49.41,246.24,2754,250,-999,-999, LPV;MIRA,258.998193553541,2,31.124754839642,11.3783576363637
4,13.8,120,27.4,42.44,226.11,16160,130,3.91,0.16, SPB,40.6655507615468,9,127.493383253476,68.5901491181353
5,14.6,20,27.4,52.68,180.44,8000,200,-999,-999, Trans/Eclipse,0.120471315914788,611,4899.64631546666,4507.44102393718
6,10.3,1800,54.79,40.29,283.81,2780,250,-999,-999, LPV;MIRA,6048815.08738019,2,28.9263229537108,14.505615109661
7,7.7,1800,27.38,41.16,216.18,4601,200,3.29,0.1, Solar-like,159.023001822833,1,14.0393100683937,0
8,12.7,1800,27.38,18.89,172.02,5661,300,-999,-999, Trans/Eclipse,NA,NA,NA,NA
9,16.5,120,27.4,30.47,194.04,11990,60,4.27,0.09, SPB,0.258480485294135,30,401.228998751178,426.175418013821
10,13,120,54.8,69.53,334.1,28840,100,3.81,0.1, SPB,4.05897814683868,213,2134.05585093368,1551.80082426802
11,9,1800,356.19,80.72,324.72,7112,234,4.36,0.4, dSct+gDor hybrid,8737.30908165927,71,53.8190379561919,34.4721181612102
12,12.9,1800,27.38,29.76,207.65,6007,200,-999,-999, RR Lyrae; ab type,14210.9111956689,5,54.1516245495186,26.7617328523721
13,10.8,1800,54.77,69.7,251.34,4944,300,-999,-999, Trans/Eclipse,228064.620018473,4,32.6030255607722,7.55818750889173
14,14.3,1800,27.37,20.15,265.87,7261,100,-999,-999, dSct,0.14375670214907,3,187.174895542505,16.4354054747486
15,6.1,120,54.8,45.54,135.12,13860,70,4.26,0.12, SPB,3823763.79620041,417,2023.65089939211,1269.81768564027
16,5,1800,27.38,21.88,51.23,4944,300,-999,-999, Trans/Eclipse,12034018885.0777,1,30.2401935368624,0
17,13.8,120,27.4,14.57,197.2,15210,110,4.14,0.14, SPB,6.41830056194783,43,469.144713093196,394.593107175831
18,12.1,1800,27.38,29.86,42.59,8000,200,-999,-999, Trans/Eclipse,0.46523261015793,1,138.672887504755,0
19,8.6,1800,54.77,48.86,297.29,4938,200,3.46,0.1, Solar-like,27.6108921354528,8,187.836748546944,74.3784523354976
20,8.3,1800,27.38,30.51,51.09,7542,263,4,0.4, dSct,3009082.02722155,1,171.073094865679,0
21,8.5,1800,356.19,78.63,0,2650,250,-999,-999, LPV;MIRA,1694416140.44901,78,82.8748146413021,97.1969093888106
22,12,120,27.4,43.15,349.96,11990,60,4.27,0.09, SPB,863.909177286906,31,220.474317717765,148.923846976472
23,16.4,120,356.2,78.38,351.32,13963,100,4.11,0.1, SPB,0.127675236967569,1985,1721.30113404837,1418.55507083899
24,6.2,120,27.4,41.5,351.32,17258,100,4.16,0.1, SPB,2068623.16378511,14,137.051602905637,89.2912048608931
25,16.7,1800,27.37,30.35,257.89,3466,250,-999,-999, LPV;SR,1.19222789897749,3,38.7993519233893,16.4354054747477
26,7.8,1800,27.38,32.72,81.06,4614,300,-999,-999, Trans/Eclipse,60324842.8748507,17,87.1290545214411,61.3913043485887
27,6.2,120,27.4,31.54,96.38,16634,100,4.15,0.1, SPB,9899229.5200536,24,190.738264237364,118.516999278934
28,12,120,27.4,28.11,108.1,33113,100,3.93,0.1, bCep,223.56273599707,55,311.610602473175,205.895484002009
29,13.2,1800,27.38,22.59,54.06,7266,242,4.09,0.4, dSct+gDor hybrid,0.260297921590774,2,99.4220151841197,75.7798913052891
30,16,1800,54.79,65.26,273.36,4708,200,2.96,0.1, Solar-like,0.000129403646010118,10,109.749872383197,35.0026799385302
31,11.3,1800,27.38,50.14,78.57,6338,200,3.96,0.1, Solar-like,0.0948448587952059,1,177.277432714417,0
32,16.7,120,27.4,46.54,39.13,14554,100,4,0.1, SPB,NA,NA,NA,NA
33,16.5,120,27.4,28.7,23.38,16210,150,4.15,0.14, SPB,0.152240229266083,38,240.16837245519,239.68913895722
34,6.1,1800,27.4,32.01,149.68,5019,200,3.56,0.1, Solar-like,1856.57587820731,7,106.373815676141,88.1131782945732
35,7.9,120,27.4,37.57,216.2,14680,90,4.16,0.13, SPB,2387416.82191642,52,472.903885473751,380.845513046353
36,5.3,1800,54.77,65.47,90.7,7498,100,-999,-999, dSct,8086403.7242805,2,93.1235134216784,32.2728720693171
37,14.1,1800,27.38,35.97,189.16,7042,300,-999,-999, Trans/Eclipse,NA,NA,NA,NA
38,13.5,120,82.2,72.62,225.76,14092,100,4.23,0.1, SPB,59.9063259752087,189,868.376300158566,1037.20935947504
39,9.5,1800,27.4,29.31,143.94,6970,300,-999,-999, Trans/Eclipse,6195500.89666781,1,31.0077519379845,0
40,15.6,1800,27.38,11.22,81.06,6392,200,3.95,0.1, Solar-like,1.2018908630187e-05,4,132.850241547544,86.6512681170179
41,11.1,1800,27.38,24.98,54.06,5148,200,3.07,0.1, Solar-like,0.747687741924193,6,177.277432714417,28.4574275365859
42,14.7,1800,27.38,55.04,48.37,3169,250,-999,-999, LPV;MIRA,765.265962527196,1,34.9922239497979,0
43,10,120,27.4,25.08,324.29,16420,140,4,0.15, SPB,NA,NA,NA,NA
44,10.5,120,27.4,53.16,28.32,14050,80,4.2,0.12, SPB,8327.76220054934,3,70.7934041267375,28.7995337995338
45,11.6,1800,27.38,23.27,216.18,6181,200,-999,-999, Trans/Eclipse,6.18871354752114,2,17.5491375854921,20.8146811074005
46,17,1800,27.38,9.39,303.05,6942,300,-999,-999, Trans/Eclipse,NA,NA,NA,NA
