ID,magnitude,Cadence,duration,latitude,longitude,Teff,Teff_error,logg,logg_error,Type,var_lc,num_peaks,median_peaks,mad_peaks
1,7.6,1800,27.4,23.83,1.7,5581,200,-999,-999,  Trans/Eclipse,804933.747691749,1,25.4841997961264,0
2,7.5,1800,27.38,33.21,332.88,6916,300,-999,-999,  Trans/Eclipse,327489461.779986,4,34.5092024535642,21.4759713698796
3,11.3,120,27.4,39.91,128.06,13121,100,4.14,0.1,  SPB,2941.7304132235,8,84.8947134896164,40.1629210600567
4,8.3,1800,27.38,19.66,235.53,7797,200,-999,-999,  Trans/Eclipse,NA,NA,NA,NA
5,12.7,1800,54.77,56.89,243.21,7305,239,4.17,0.4,  dSct+gDor hybrid,41.7699161721717,4,18.1297709924771,15.5616412214691
6,16.2,1800,27.4,14.13,27.02,4633,200,2.98,0.1,  Solar-like,0.335185903195456,2,11.2555215766225,14.1685779816514
7,12.9,20,27.4,43.5,270.25,8000,200,4.18,0.1,  Trans/Eclipse,131.939474112454,21,7419.24744783516,8470.51746527201
8,3.1,1800,27.38,20.6,54.04,7717,200,-999,-999,  Trans/Eclipse,632910800.282023,2,75.1684810773436,26.9004665626513
9,8,1800,54.79,48.56,252.23,6783,194,4.43,0.1,  dSct+gDor hybrid;Trans/Eclipse,640958.255015046,8,41.9006295726547,20.339395099416
10,12.5,120,137,74.03,216.2,14680,90,4.16,0.13,  SPB,801.677923342131,52,131.377252617943,163.395111194914
11,13.5,1800,54.79,57.58,139.77,6051,200,-999,-999,  RR Lyrae; ab type,21836.095679612,10,102.631466529967,69.1930667691915
12,9.3,1800,27.4,31.88,270.87,4800,200,-999,-999,  Trans/Eclipse,NA,NA,NA,NA
13,5.8,1800,54.79,62.28,296.65,7711,269,4.2,0.1,  dSct;Trans/Eclipse,46789142.4208755,5,83.9175695767119,114.651880177756
14,5.2,1800,27.38,47.49,196.57,5522,300,-999,-999,  Trans/Eclipse,11280583879.3022,2,40.1123144811249,55.0102286409871
15,8.6,120,27.4,53.53,189.17,13690,70,4.23,0.12,  SPB,192333.150337314,31,341.332852154344,307.648863221833
16,16.4,1800,27.37,22.21,267.72,7498,100,-999,-999,  dSct,0.386930441530746,2,108.936641938747,16.1193399848487
17,9.1,1800,27.38,24.28,234.3,33113,100,3.93,0.1,  bCep,178676.540511302,2,36.9113050969592,37.9477853211052
18,9.5,1800,54.77,60.69,209.25,6101,200,-999,-999,  Trans/Eclipse,14515.8603125706,3,15.0551314674371,11.3175572519776
19,6,1800,82.17,65.38,108.08,8000,200,-999,-999,  Trans/Eclipse,38938054.7591199,11,24.949675370803,19.5460576678521
20,11,120,27.4,34.68,270.25,26730,100,3.67,0.1,  bCep,3170.88023937369,7,111.40135218056,100.616933004296
21,15.1,1800,27.38,39.77,42.42,3083,250,-999,-999,  LPV;MIRA,766.901929156202,1,34.9922239497979,0
22,9,1800,27.37,17.12,267.65,7838,200,-999,-999,  Trans/Eclipse,62552.1037040234,2,64.3813422025471,44.8812995656573
23,9.7,120,27.4,9.44,186.25,27289,100,4.08,0.1,  SPB,111767.483818846,33,240.80560420216,238.648655608371
24,14.2,1800,27.38,42.06,330.54,7120,200,-999,-999,  RR Lyrae; c type,2229.08728713264,4,74.5569188811573,43.899412064901
25,13.5,1800,27.38,6.79,216.18,5980,200,-999,-999,  RR Lyrae; ab type,19304.5254565752,8,87.4949859619536,57.6120637794119
